Nombre del producto,Empresa,Ingredientes ,Fórmula,Uso ,Dosis ,Tiempo de retiro ,Número de certificado o registro,Clasificación ,Fecha de registro,Fecha de vigencia
Aquaxcel 40% Shrimp Starter,"Agribrands Purina México, S. de R.L. de C.V. ","Cereales molidos, proteínas vegetales (oleaginosas), proteínas animales de origen marino (harina de pescado y/o harina de calamar), proteína de origen animal (harina de sangre de pollo y/o harina de plumas y/o harina de carne de cerdo y/o harina de hueso de cerdo), aceite de pescado, lecitina, suplemento de vitamina E, complejo bisulfito sódico de menadiona, mononitrato de tiamina, suplemento de niacina, pantotenato de calcio,, riboflavina, suplemento de biotina, suplemento de vitamina A, hidrocloruro de piridoxina, suplemento de vitamina D, ácido fólico, suplemento de vitamina B-12, inositol, suplemento de vitamina C, cloruro de sodio, carbonato de calcio, fosfato monocalcico,  DL-metionina, L-treonina, sabores naturales, conservadores: ácido propiónico. Antioxidantes: Etoxiquin. ",Proteína min….40.00%            Cenizas max……12.00%           humedad max…12.00%                   fibra max…………3.80%                    grasa min………..7.50%               ELN………………….24.70%     Calcio 1.5% min Calcio 3.00% Max.            fosforo 1.10% min              ,Alimento balanceado para la alimentación de camarón para ser usado en la etapa postlarva y juvenil temprano en condiciones de cultivointensivo o semi intensivo,De acuerdo a la etiqueta que se somete a aprobación,No Aplica,A-037/2019-001,Alimento,21-may-19,21-may-24
Aquaxcel 35% Shrimp Starter,"Agribrands Purina México, S. de R.L. de C.V. ","Cereales molidos, proteínas vegetales (oleaginosas), proteínas animales de origen marino (harina de pescado y/o harina de calamar), proteína de origen animal (harina de sangre de pollo y/o harina de plumas y/o harina de carne de cerdo y/o harina de hueso de cerdo), aceite de pescado, lecitina, suplemento de vitamina E, cloruro de colina, complejo bisulfito sódico de menadiona, mononitrato de tiamina, suplemento de niacina, pantotenato de calcio,, riboflavina, suplemento de biotina, suplemento de vitamina A, hidrocloruro de piridoxina, suplemento de vitamina D, ácido fólico, suplemento de vitamina B-12, inositol, suplemento de vitamina C, cloruro de sodio, carbonato de calcio, oxido de magnesio, sulfato de zinc, sulfato de manganeso, sulfato de cobre, selenito de sodio, dihicroyoduro etilendiamina, sulfato de cobalto, fosfato monocalcico, sabores naturales, DL-metionina, conservadores: ácido propiónico. Antioxidantes: Etoxiquin., ",Proteína min….35.00%            Cenizas max……12.00%           humedad max…12.00%                   fibra max…………4.0%                    grasa min………..7.00%               ELN………………….30.0%     Calcio 1.5% min Calcio 3.00% Max.            fosforo 1.10% min              ,Alimento balanceado para la alimentación de camarón para ser usado en la etapa postlarva y juvenil temprano en condiciones de cultivointensivo o semi intensivo,,No Aplica,A-037/2019-002,Alimento,21-may-19,21-may-24
Nicovita Finalis Camarón 35% - 1.6 PE,"Amexfal, S.A. de C.V.","Harina de semillas de oleaginosas, trigo y subproductos de cereales, harina de origen marino, harina de subproductos aviares (vísceras), premezcla de vitaminas y minerales (cobre, zinc, manganeso, yodo, selenio, hierro, vitamina A, Vitamina D3, vitamina E, vitamina K, tiamina, riboflavina, piridoxina, ácido pantoténico, niacina, ácido fólico, vitamina B12, cobalto, colina, vitamina C, biotina), aceite de origen marino, aceite vegetal, lecitina de soya, aminoácidos sintéticos (metionina, lisina) ",Proteína min….45.00%            Cenizas max……11.00%           humedad max…11.00%                   fibra max…………3.00%                    grasa min………..9.00%                ,"Dieta balanceada, peletizada para alimentar camarones de lar y langostino a partir de los 3 g. de peso hasta 6 g de peso vivo con alimentadores automáticos",De acuerdo a la etiqueta que se somete a aprobación,No aplica ,A-245/2019-001,Alimento,27-jun-19,27-jun-24
Nicovita Finalis Camarón 35% - 2.0 PE,"Amexfal, S.A. de C.V.","Harina de semillas de oleaginosas, trigo y subproductos de cereales, harina de origen marino, harina de subproductos aviares (vísceras), premezcla de vitaminas y minerales (cobre, zinc, manganeso, yodo, selenio, hierro, vitamina A, Vitamina D3, vitamina E, vitamina K, tiamina, riboflavina, piridoxina, ácido pantoténico, niacina, ácido fólico, vitamina B12, cobalto, colina, vitamina C, biotina, aceite de origen marino, aceite vegetal, lecitina de soya, aminoácidos sintéticos (metionina, lisina) ",Proteína min….45.00%            Cenizas max……11.00%           humedad max…11.00%                   fibra max…………3.00%                    grasa min………..9.00%                ,"Dieta balanceada, peletizada para alimentar camarones de mar y langostino a partir de los 3 g. de peso hasta 6 g de peso vivo co alimentación manual y con alimentadores automáticos a partir de los 6 g de peso vivo hasta alcanzar el peso de marcado",De acuerdo a la etiqueta que se somete a aprobación,No aplica ,A-245/2019-002,Alimento,27-jun-19,27-jun-24
Nicovita Finalis Camarón 35% - 2.5 PE,"Amexfal, S.A. de C.V.","Harina de semillas de oleaginosas, trigo y subproductos de cereales, harina de origen marino, harina de subproductos aviares (vísceras), premezcla de vitaminas y minerales (cobre, zinc, manganeso, yodo, selenio, hierro, vitamina A, Vitamina D3, vitamina E, vitamina K, tiamina, riboflavina, piridoxina, ácido pantoténico, niacina, ácido fólico, vitamina B12, cobalto, colina, vitamina C, biotina), aceite de origen marino, aceite vegetal, lecitina de soya, aminoácidos sintéticos (metionina, lisina) ",Proteína min….45.00%            Cenizas max……11.00%           humedad max…11.00%                   fibra max…………3.00%                    grasa min………..9.00%                ,"Dieta balanceada, peletizada para alimentar camarones de mar y langostino a partir de los 6 g de peso hasta tamaño de marcado alimentación manual.",De acuerdo a la etiqueta que se somete a aprobación,No aplica ,A-245/2019-003,Alimento,27-jun-19,27-jun-24
Aquaxcel Camarones Starter 4209,"Agribrands Purina México, S. de R.L. de C.V. ","Cereales molidios, proteínas vegetales (oleaginosas), proteínas animales de orgen marino (harina de pescado y/o harian de calamar), proteínas animales (harina de pollo y/o harina de plumas y/o harina de cerdo y/o harina de sangre), suplemento de vitamina E, cloruro de colina, complejo de bisulfito de menadiona,bisulfito de sodio, mononitrato de tainina, aceite mineral, suplementeo de niacina pantotenato de calcio, riboflavina, suplemento de biotina, suplemento de vitamina A, hidrocloruro de piridoxina, biotina, suplemento de vitamina D-3, ácido fólico, suplemento de vitamina B-12, suplemento de vitamina C, cloruro de sodio, bicarbonaro de sodio, carbonato de calcio, oxido de magnesio, sulfato de zinc, sulfato de hierro, sulfato de manganeso, sulfato de cobre, selenito de sodio, selenio, EDDI, carbonato de calcio, aminoácidos DL-metionina, lisina, treonina, probiotico Bacillus licheniformisy B. subtilis >= 2.2E+9 ufc/g, conservadores, ácido propionico, antioxidante etoxiquin y/o BHA.",Humedad max: ……………….11%                         Proteína mín: ………………….42%                        Grasa min:…………………….. 9%                               Fibra máx: ……………………..3%                                 Cenizas max:………………….. 10% Calcio min 1.5% max 2%                  Fósforo min: ………..…...1.1%          E.N.L: ....................................25%,Alimento balanceado para camarón en etapa de postlarva y juvenil temprano ,En partícula de 1.5 mm de 20% a 15% de la Biomasa. En Partícula de 2.2mm de 15% a 12% de la Biomasa ,No aplica ,A-037/2013-002,Alimento ,31-ene-19,31-ene-24
BACTI-NIL AQUA,"Adisseo de México, S.A. de C.V.","Acido caprilico, acido caprico","Acido caprilico... 4.0-6.0%
Acido caprico….3.5-5.5%","Mejora la calidad del alimento y mantiene sano el intestino de animales acu ticos, por acci¢n antibateriana. Bagre, Carpa, tilapia y camarón",De 2.0-5.0 Kg/TM de alimento,No aplica,DGSA-DSAP-CSAUA-002-(3)/2019,Aditivo ,11-jun-19,11-jun-24
Epicin G2,"Proveedora de insumos acuícolas, s.a. de c.v.","Bacillus subtilis, Bacillus licheniformis, bacillus pumilus, Labctobacillus acidophilus y Sacharomyces cerevisiae 4X109 UFC/g min.","Bacillus subtilis, Bacillus licheniformis, bacillus pumilus, Labctobacillus acidophilus y Sacharomyces cerevisiae 4X109 UFC/g min.","cultivos microbianos que eliminan los productos de desecho en el agua, tales como amoníaco, nitritos y sulfuro de hidrógeno. ",De acuerdo a la etiqueta que se somete a aprobación,No aplica,DGSA-DSAP-CSAUA-005-(3)/2014,Aditivo ,01-jul-19,01-jul-24
CALIBRIN Z,"Agromex Importaciones, S.A. de C.V.", Montmorillonita de calcio,Óxido de silicio (SiO2)…………………………..55.0 -78.0%        Óxido de aluminio (Al2O3)…………………….…8.0-15.0%  Humedad (máx)……………………3.0% ,"Coadyuvante en la adsorción de biotoxinas de Clostridium perfringens, E. coli, Salmonella spp, Vibrio parahaemolyticus  y del agente antinutricional gosipol. Para camarón","Administrar mezclado en el alimento a postlarvas (2-4 g.) de 4 a 5 Kg/T., juvenil ( 4-6 g) de 3 a 4 Kg/T. y en engorda (>6 g.) de 2 a 3 Kg/T. ",No aplica,DGSA-DSAP-CSAUA-015-(3)/2016,Aditivo ,04-nov-16,04-nov-21
CAPTOX ,"Vimifos, S.A. de C.V. ",Aluminisilicatos (óxidos de aluminio y sílice) y pared celular de levadura (Pichia guilliermondii),Proteína cruda mín………………6.00% Grasa cruda mán.…….………….0.50%  Fibra cruda máx………………....2.00%        Humedad máx…….……………..10.00%         Cenizas máx……………………...81.50%    Óxido de Aluminio mín…..……7.00%          Óxido de Sílice mín…………….40.00%,"secuestrador de micotoxinas (Aflatoxina B-1, B-2, G-1, G-2, Ocratoxina A, Fumonisina B-1, Deoxynivalenol, Zearaleonona y Toxina T-2) presentes en el alimento. Camarón y peces ",2.5 Kg/T de alimento terminado,No aplica ,DGSA-DSAP-CSUA-001-(3)/2014,Aditivo ,24-ene-14,24-ene-19
BUMPER CROP 35,"Vimifos, S.A. de C.V. ","Ganos de cerele, pasta de oleaginosas, subproductos de cereales, prteína de orgen marino (harina de calamar, harina de pescado, harina de kirll, hidrolizados de pescado), proteína de orgen avícola (harina de pollo y pluma), aceite de pescado, vitamina A, vitaminas complejo B, ácido fólico, biotna, vitamina C, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato mododicálcico, cobalto, cobre, hierro, manganeso yodo, zinc, amonoácido sintético (metionina), lectina de soya, propionato de calcio. ",Proteína cruda mín………………35.00% Grasa cruda mán.…….………….8.00%            Fibra cruda máx………………....3.00%        Humedad máx…….……………..12.00%         Cenizas máx……………………12.00%   ENL………………………….….30.00%,Alimento para engorda de camarón del género Litopenaeus ,ofrecer a libre acceso ,No aplica ,A-041/2014-001,Alimento ,04-feb-14,04-feb-19
BUMPER CROP  MICRO35,"Vimifos, S.A. de C.V. ","Ganos de cerele, pasta de oleaginosas, subproductos de cereales, prteína de orgen marino (harina de calamar, harina de pescado, harina de rkirll, hidrolizado de pescado), proteína de orgen avícola (harina de pollo y pluma), aceite de pescado vitamina A, vitaminas complejo B, ácido fólico, biotina, vitamina C, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato mododicálcico, cobalto, cobre, hierro, manganeso, yodo, zinc, lectina de soya, propinato de calcio, mananooligosacáridos y betaglucanos, aminoácidos sintéticos (betaina)",Proteína cruda mín………………35.00% Grasa cruda mán.…….………….8.00%            Fibra cruda máx………………....3.00%        Humedad máx…….……………..12.00%         Cenizas máx……………………12.00%   ENL………………………….….30.00%,Alimento para engorda de camarón del género Litopenaeus ,ofrecer a libre acceso ,No aplica ,A-041/2014-002  ,Alimento ,04-feb-14,04-feb-19
BUMPER CROP MICRO 35+ZERO EXCHAGE,"Vimifos, S.A. de C.V. ","Ganos de cerele, pasta de oleaginosas, subproductos de cereales, prteína de orgen marino (harina de calamar, harina de pescado, harina de rkirll, hidrolizado de pescado), proteína de orgen avícola (harina de pollo y pluma), aceite de pescado vitamina A, vitaminas complejo B, ácido fólico, biotina, vitamina C, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato mododicálcico, cobalto, cobre, hierro, manganeso, yodo, zinc, lectina de soya, propinato de calcio, mananooligosacáridos y betaglucanos, aminoácidos sintéticos (betaina)",Proteína cruda mín………………35.00% Grasa cruda mán.…….………….8.00%  Fibra cruda máx………………....3.00%        Humedad máx…….……………..12.00%         Cenizas máx……………………12.00%   ENL………………………….….30.00%,Alimento para engorda de camarón del género Litopenaeus ,ofrecer a libre acceso ,No aplica ,A-041/2014-003  ,Alimento ,04-feb-14,04-feb-19
BUMPER CROP STARTER 40+ ZERO EXCHANGE,"Vimifos, S.A. de C.V. ","Ganos de cerele, pasta de oleaginosas, subproductos de cereales, prteína de orgen marino (harina de calamar, harina de pescado, harina de rkirll), proteína de orgen avícola (harina de pollo y pluma), proteínas sanguíneas de orgen porcino, aceite de pescado vitamina A, vitaminas complejo B, ácido fólico, biotina, vitamina c, vitamina D3, vitamina E, vitamina K, carbonato de calcio, fosfato mododicálcico, cobalto, cobre, hierro, manganeso, yodo, zinc, lectina de soya, propinato de calcio, mananooligosacáridos y betaglucanos, aminoácidos sintéticos (betaina)",Proteína cruda mín………………40.00% Grasa cruda mán.…….………….8.00%          Fibra cruda máx………………....3.00%        Humedad máx…….……………..12.00%         Cenizas máx……………………12.00%   ENL………………………….….25.00%,Alimento iniciador para Camarón del género Litopenaeus,ofrecer a libre acceso ,No aplica ,A-041/2014-004  ,Alimento ,04-feb-14,04-feb-19
BUMPER CROP STARTER 40,"Vimifos, S.A. de C.V. ","Granos de cereales, pastas de oleaginosas, subproductos de cereales, prteína de orgen marinao (harina de calamar harina de pescado, harina de kril), proteína de orgen avícola (harinaa de pollo y pluma), aceite de pescado, vitamina A, vitaminas complejo B, ácido fólico, biotina, vitamina C, vitamina D3, vitamina e, vitamina K, carbonato de calcio, fosfato monodicácico, coalto cobre, hierro, manganeso, yodo, zinc, lectina de soya, propionato de calci, mananooloigosacáridos y betaglucanos. ",Proteína cruda mín………………40.00% Grasa cruda mán.…….………….8.00%          Fibra cruda máx………………....3.00%        Humedad máx…….……………..12.00%         Cenizas máx……………………12.00%   ENL………………………….….25.00%,Alimento iniciador para Camarón del género Litopenaeus,ofrecer a libre acceso ,No aplica ,A-041/2014-005  ,Alimento ,04-feb-14,04-feb-19
BUMPER CROP MIGAJA 40,"Vimifos, S.A. de C.V. ","Granos de cereales, pastas de oleaginosas, subproductos de cereales, prteína de orgen marinao (harina de calamar harina de pescado, harina de kril), proteína de orgen avícola (harinaa de pollo y pluma), aceite de pescado, vitamina A, vitaminas complejo B, ácido fólico, biotina, vitamina C, vitamina D3, vitamina e, vitamina K, carbonato de calcio, fosfato monodicácico, coalto cobre, hierro, manganeso, yodo, zinc, lectina de soya, propionato de calci, mananooloigosacáridos y betaglucanos. ",Proteína cruda mín………………40.00% Grasa cruda mán.…….………….8.00%          Fibra cruda máx………………....3.00%        Humedad máx…….……………..12.00%         Cenizas máx……………………12.00%   ENL………………………….….25.00%,Alimento iniciador para Camarón del género Litopenaeus,ofrecer a libre acceso ,No aplica ,A-041/2014-006  ,Alimento ,04-feb-14,04-feb-19
Nutri Bull 0.2%,"Animalnutri Mexico, S.A. de C.V.",Glucuronolactona ,Glucuronolactona…..2.25g              Vehículo c.b.p………...1kg,"Suplemento nutricional tónico para el higado que estimula la desintoxicación de los sistemas (función hepatopancreática) para aumentar el rendimiento en crecimiento, conversión alimentica y sobreviviencia. Peces y camarón",2Kg/Ton de alimento ,No aplica,DGSA-DSAP-CSAUA-004-(3)2017,Aditivo ,12-abr-17,12-abr-22
MAXIMA MW 405,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o pescado) proteínas animales harina de sangre de cerdo y/o res y/o plasma porcino y/o harina de ave y/o harina de cerdo), granos y subproducots de granos, pastas y subproductos de oleaginosas aminoácidoa sintéticos (metionina, lisina, triptófano), vitaminas (A, D3,E, B2,B2,B3, B6, C, biotina, ácido pantoténico y ácido fólico)cloruro de colina, carbonato de calcio, ortofosfato, cloruro de sodi, minerales traza (sulfato y/u óxido de zinc, sulfato de3 cobre, sulfato y/o oxido manganoso, selenito de sodio, yodat de calcio y/o eddi, óxido y/(o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/o óxido carbonato de magnesio), glucoronolactona,antioxidante a base de BHT, TBHQ, ETW y ácido cítrico; antifungico a base de ácidos propiónicos, benzóico, fosfórico y sórbico.",PROTEÍNA CRUDA……...40.00 % MÍN GRASA CRUDA………….. 7.00 % MIN FIBRA CRUDA……………5.00 % MÁX CENIZAS………………….12.00 % MÁX HUMEDAD………………..12.00 % MÁX,"Es una dieta diseñada para camarones de cultivo, camarón blanco del Pacifico Litopenaeus vannamei",De acuerdo a la tablade ANIMALNUTRI,No aplica,A-053/2014-001,Alimento ,04-ago-14,04-ago-19
ESSENCIAL MW 350+NUTRIBULL ,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado) proteínas animales (harina de sangre de cerdo y/o res y/o plasma porcino y/o harina de ave y/o harina de cerdo), Granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano),  vitaminas ( A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc,  sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/o oxido y/o carbonato de magnesio), glucuronolactona, antioxidante a base de BHT,TBHQ, ETQ (etoxiquina) y ácido cítrico; antifungico a base de ácidos propiónico, benzoico, fosfórico y sórbico.",PROTEÍNA CRUDA……35.00 % MÍN GRASA CRUDA………..4.00 % MIN            FIBRA CRUDA…………7.00 % MÁX CENIZAS……………….13.50 % MÁX HUMEDAD …………….12.00 % MÁX,"Es una dieta diseñada para camarones de cultivo, camarón blanco del Pacifico Litopenaeus vannamei",De acuerdo a la tablade ANIMALNUTRI,No aplica,A-053/2014-002,Alimento ,04-ago-14,04-ago-19
PERFORMA MW 352,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado) proteínas animales (harina de sangre de cerdo y/o res y/o plasma porcino y/o harina de ave y/o harina de cerdo), Granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano),  vitaminas ( A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc,  sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/o oxido y/o carbonato de magnesio),  antioxidante a base de BHT,TBHQ, ETQ (etoxiquina) y ácido cítrico; antifungico a base de ácidos propiónico, benzoico, fosfórico y sórbico.",PROTEÍNA CRUDA……35.00 % MÍN GRASA CRUDA………..5.00 % MIN FIBRA CRUDA………...6.00 % MÁX CENIZAS……………….13.50 % MÁX HUMEDAD …………….12.00 % MÁX,"Es una dieta diseñada para camarones de cultivo, camarón blanco del Pacifico Litopenaeus vannamei",De acuerdo a la tablade ANIMALNUTRI,No aplica,A-053/2014-003,Alimento ,04-ago-14,04-ago-19
ESSENCIAL MW 352,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado) proteínas animales (harina de sangre de cerdo y/o res y/o plasma porcino y/o harina de ave y/o harina de cerdo), Granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano),  vitaminas ( A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc,  sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/o oxido y/o carbonato de magnesio),  antioxidante a base de BHT,TBHQ, ETQ (etoxiquina) y ácido cítrico; antifungico a base de ácidos propiónico, benzoico, fosfórico y sórbico.",PROTEÍNA CRUDA……35.00 % MÍN GRASA CRUDA………..5.00 % MIN              FIBRA CRUDA…………6.00 % MÁX CENIZAS……………….13.50 % MÁX HUMEDAD …………….12.00 % MÁX,"Es una dieta diseñada para camarones de cultivo, camarón blanco del Pacifico Litopenaeus vannamei",De acuerdo a la tablade ANIMALNUTRI,No aplica,A-053/2014-004,Alimento ,04-ago-14,04-ago-19
PERFROMA MW 352+NUTRIBULL,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado) proteínas animales (harina de sangre de cerdo y/o res y/o plasma porcino y/o harina de ave y/o harina de cerdo), Granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano),  vitaminas ( A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc,  sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/o oxido y/o carbonato de magnesio), glucuronolactona, antioxidante a base de BHT,TBHQ, ETQ (etoxiquina) y ácido cítrico; antifungico a base de ácidos propiónico, benzoico, fosfórico y sórbico.",PROTEÍNA CRUDA……35.00 % MÍN GRASA CRUDA………..5.00 % MIN              FIBRA CRUDA…………6.00 % MÁX CENIZAS……………….13.50 % MÁX HUMEDAD …………….12.00 % MÁX,"Es una dieta diseñada para camarones de cultivo, camarón blanco del Pacifico Litopenaeus vannamei",De acuerdo a la tablade ANIMALNUTRI,No aplica,A-053/2014-005,Alimento ,04-ago-14,04-ago-19
ESSENCIAL MW 352+NUTRIBULL,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado) proteínas animales (harina de sangre de cerdo y/o res y/o plasma porcino y/o harina de ave y/o harina de cerdo), Granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano),  vitaminas ( A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc,  sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/o oxido y/o carbonato de magnesio), glucuronolactona, antioxidante a base de BHT,TBHQ, ETQ (etoxiquina) y ácido cítrico; antifungico a base de ácidos propiónico, benzoico, fosfórico y sórbico.",PROTEÍNA CRUDA……35.00 % MÍN GRASA CRUDA………..5.00 % MIN              FIBRA CRUDA…………6.00 % MÁX CENIZAS……………….13.50 % MÁX HUMEDAD …………….12.00 % MÁX,"Es una dieta diseñada para camarones de cultivo, camarón blanco del Pacifico Litopenaeus vannamei",De acuerdo a la tablade ANIMALNUTRI,No aplica,A-053/2014-006,Alimento ,04-ago-14,04-ago-19
PERFORMA MW 400,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado) proteínas animales (harina de sangre de cerdo y/o res y/o plasma porcino y/o harina de ave y/o harina de cerdo), Granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano),  vitaminas ( A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc,  sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/o oxido y/o carbonato de magnesio),  antioxidante a base de BHT,TBHQ, ETQ (etoxiquina) y ácido cítrico; antifungico a base de ácidos propiónico, benzoico, fosfórico y sórbico.",PROTEÍNA CRUDA……35.00 % MÍN GRASA CRUDA………..5.00 % MIN              FIBRA CRUDA…………6.00 % MÁX CENIZAS……………….13.50 % MÁX HUMEDAD …………….12.00 % MÁX,"Es una dieta diseñada para camarones de cultivo, camarón blanco del Pacifico Litopenaeus vannamei",De acuerdo a la tablade ANIMALNUTRI,No aplica,A-053/2014-007,Alimento ,04-ago-14,04-ago-19
ESSENCIAL MW 350,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado) proteínas animales (harina de sangre de cerdo y/o res y/o plasma porcino y/o harina de ave y/o harina de cerdo), Granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano),  vitaminas ( A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc,  sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/o oxido y/o carbonato de magnesio),  antioxidante a base de BHT,TBHQ, ETQ (etoxiquina) y ácido cítrico; antifungico a base de ácidos propiónico, benzoico, fosfórico y sórbico.",PROTEÍNA CRUDA……35.00 % MÍN GRASA CRUDA………..5.00 % MIN              FIBRA CRUDA…………7.00 % MÁX CENIZAS……………….13.50 % MÁX HUMEDAD …………….12.00 % MÁX,"Es una dieta diseñada para camarones de cultivo, camarón blanco del Pacifico Litopenaeus vannamei",De acuerdo a la tablade ANIMALNUTRI,No aplica,A-053/2014-008,Alimento ,04-ago-14,04-ago-19
MAXIMA MW 405+NUTRIBULL,"Animalnutri Mexico, S.A. de C.V.","Proteínas de origen marino (harina de calamar y/o harina de pescado) proteínas animales (harina de sangre de cerdo y/o res y/o plasma porcino y/o harina de ave y/o harina de cerdo), Granos y subproductos de granos, pastas y subproductos de oleaginosas, aminoácidos sintéticos (metionina, lisina, triptófano),  vitaminas ( A, D3, E, B1, B2, B3, B6, B12, C, biotina, ácido pantoténico y ácido fólico) cloruro de colina, carbonato de calcio, Ortofosfato, cloruro de sodio, minerales traza (sulfato y/u óxido de zinc,  sulfato de cobre, sulfato y/u óxido manganoso, selenito de sodio, yodato de calcio y/o eddi (Etileno diamino dihidro yoduro), óxido y/o carbonato y/o sulfato de hierro, carbonato y/o sulfato de cobalto y/o sulfato y/o oxido y/o carbonato de magnesio), glucuronolactona, antioxidante a base de BHT,TBHQ, ETQ (etoxiquina) y ácido cítrico; antifungico a base de ácidos propiónico, benzoico, fosfórico y sórbico.",PROTEÍNA CRUDA……40.00 % MÍN GRASA CRUDA………..7.00 % MIN              FIBRA CRUDA…………4.00 % MÁX CENIZAS……………….12.50 % MÁX HUMEDAD …………….12.00 % MÁX,"Es una dieta diseñada para camarones de cultivo, camarón blanco del Pacifico Litopenaeus vannamei",De acuerdo a la tablade ANIMALNUTRI,No aplica,A-053/2014-009,Alimento ,04-ago-14,04-ago-19
